"local_segment","local_segment_label","local_segment_start_datetime","local_segment_end_datetime","phone_locations_barnett_hometime","phone_locations_barnett_disttravelled","phone_locations_barnett_rog","phone_locations_barnett_maxdiam","phone_locations_barnett_maxhomedist","phone_locations_barnett_siglocsvisited","phone_locations_barnett_avgflightlen","phone_locations_barnett_stdflightlen","phone_locations_barnett_avgflightdur","phone_locations_barnett_stdflightdur","phone_locations_barnett_probpause","phone_locations_barnett_siglocentropy","phone_locations_barnett_circdnrtn","phone_locations_barnett_wkenddayrtn"
"daily#2023-02-13 00:00:00,2023-02-13 23:59:59","daily","2023-02-13 00:00:00","2023-02-13 23:59:59",228.595733332634,17197.7468230546,1451.66388236084,3289.37246709133,3284.90754756074,2,166.968415757812,205.75202141586,68.8349514563107,25.1778369265817,0.844673361003678,0.0869209272933511,0.5,0.56993006993007
"daily#2023-02-14 00:00:00,2023-02-14 23:59:59","daily","2023-02-14 00:00:00","2023-02-14 23:59:59",697.166666666667,40281.5109815777,2096.21725921641,8480.39713009106,8476.23810100719,1,263.277849552796,380.733318430877,64.9673202614379,29.9588354203804,0.884953703703704,0,0.628908999497235,0.675784999314411
"daily#2023-02-15 00:00:00,2023-02-15 23:59:59","daily","2023-02-15 00:00:00","2023-02-15 23:59:59",1036,15288.9480439731,1392.14878881142,3313.61430691732,3308.61121842962,2,168.010418065638,246.394164545129,62.6373626373626,23.7970663381091,0.934027777777778,0.297951831112314,0.775201106083459,0.807092417386535
"daily#2023-02-16 00:00:00,2023-02-16 23:59:59","daily","2023-02-16 00:00:00","2023-02-16 23:59:59",869,29793.4341867524,1476.45018623477,3241.78226092571,3235.95358141854,2,201.306987748327,202.193669243701,62.027027027027,29.6225566622827,0.89375,0.0292478659196649,0.703054298642534,0.746589195118607
"daily#2023-02-17 00:00:00,2023-02-17 23:59:59","daily","2023-02-17 00:00:00","2023-02-17 23:59:59",1069.2376000007,35178.1740759168,718.878751060606,2224.34889076005,2056.25569732763,2,191.185728673461,155.635736808358,53.4782608695652,27.4184247656759,0.88612989967772,0.436736684696718,0.731460532931121,0.690627999451529
"daily#2023-02-18 00:00:00,2023-02-18 23:59:59","daily","2023-02-18 00:00:00","2023-02-18 23:59:59",829.762399999301,107388.589061383,833.822026650367,4443.5352955492,3408.41783153324,1,184.516476050487,154.064603617834,54.3986254295533,27.9518740238714,0.633673966405017,0,0.70253896430367,0.916666666666667
"daily#2023-02-19 00:00:00,2023-02-19 23:59:59","daily","2023-02-19 00:00:00","2023-02-19 23:59:59",1440,0,9.09494701772928e-13,0,10.1081063795965,1,0,0,0,0,1,0,0.748127199597788,0.958333333333333
"daily#2023-02-20 00:00:00,2023-02-20 23:59:59","daily","2023-02-20 00:00:00","2023-02-20 23:59:59",882,46731.68441852,1346.96818425792,3397.9005304499,3298.37740019375,2,176.345978937811,162.414698835339,69.0566037735849,29.7632165029886,0.788194444444444,0.228897145167199,0.772850678733032,0.803887289181407
"daily#2023-02-21 00:00:00,2023-02-21 23:59:59","daily","2023-02-21 00:00:00","2023-02-21 23:59:59",454,84106.7534526772,1449.8425563203,3580.43061258912,3465.35371142321,2,163.95078645746,143.877970959821,67.2514619883041,28.5804976599644,0.600694444444444,0.419604898357839,0.756121166415284,0.807589469354175
"daily#2023-02-22 00:00:00,2023-02-22 23:59:59","daily","2023-02-22 00:00:00","2023-02-22 23:59:59",506,47229.8468511416,1515.55093621981,3418.92316300712,3311.64937794826,2,108.077452748608,141.367442415743,63.4324942791762,23.6977943163821,0.679166666666667,0.0142554717184858,0.678179989944696,0.701306046894282
"daily#2023-02-23 00:00:00,2023-02-23 23:59:59","daily","2023-02-23 00:00:00","2023-02-23 23:59:59",624,58765.5066301216,1435.52715350917,3573.03504415901,3461.32750642841,2,173.349577080005,137.735868801765,67.787610619469,30.9533294403941,0.734027777777778,0.303413835108803,0.764027149321267,0.807006718771425
"daily#2023-02-24 00:00:00,2023-02-24 23:59:59","daily","2023-02-24 00:00:00","2023-02-24 23:59:59",1046,15564.24003895,1272.87664710048,5033.76238814643,4101.72448961919,2,213.208767656849,446.423241795129,67.3972602739726,23.8063598680568,0.943055555555556,0.42676397489512,0.650188536953243,0.613893459481695
"daily#2023-02-25 00:00:00,2023-02-25 23:59:59","daily","2023-02-25 00:00:00","2023-02-25 23:59:59",1169,23459.5947204349,2477.11005582566,8655.65351780242,8603.10610187047,1,195.496622670291,565.585355849653,63.5,24.6539069125042,0.911805555555556,0,0.705316742081448,0.916666666666667
"daily#2023-02-26 00:00:00,2023-02-26 23:59:59","daily","2023-02-26 00:00:00","2023-02-26 23:59:59",1440,0,4.54747350886464e-13,0,34.4595464690099,1,0,0,0,0,1,0,0.748127199597788,0.958333333333333
"daily#2023-02-27 00:00:00,2023-02-27 23:59:59","daily","2023-02-27 00:00:00","2023-02-27 23:59:59",1033,14675.606140594,1390.38799033925,3381.9771855444,3294.4745056981,1,326.124580902089,359.922232918722,61.3333333333333,25.3699894291733,0.968055555555556,0,0.757390648567119,0.782805429864253
"daily#2023-02-28 00:00:00,2023-02-28 23:59:59","daily","2023-02-28 00:00:00","2023-02-28 23:59:59",637.404266667366,13285.002032922,1449.29232753282,3923.15584853036,3916.65782163594,2,181.986329218109,253.214290138387,60.8219178082192,25.5361086751864,0.922383397487125,0.394735104182149,0.829166666666667,0.880681818181818
